,open time,close,Success/Fail,Earning Rate (%)
Start,2019-01-05 21:00:00,4296000.0
End,2019-01-14 21:00:00,4105000.0,Failed,-4.5
Start,2019-01-14 21:00:00,4105000.0
End,2019-01-19 09:00:00,4056000.0,Failed,-1.2400000000000002
Start,2019-01-19 09:00:00,4056000.0
End,2019-01-23 05:00:00,4013000.0,Failed,-1.11
Start,2019-01-26 13:00:00,4015000.0
End,2019-01-31 01:00:00,3806000.0,Failed,-5.26
Start,2019-01-31 01:00:00,3806000.0
End,2019-02-02 21:00:00,3806000.0,Failed,-0.05
Start,2019-02-02 21:00:00,3806000.0
End,2019-02-08 21:00:00,3879000.0,Failed,1.8699999999999999
Start,2019-02-08 21:00:00,3879000.0
End,2019-02-12 05:00:00,3986000.0,Failed,2.71
Start,2019-02-12 05:00:00,3986000.0
End,2019-02-13 21:00:00,3967000.0,Failed,-0.5299999999999999
Start,2019-02-13 21:00:00,3967000.0
End,2019-02-15 21:00:00,3983000.0,Failed,0.35000000000000003
Start,2019-02-15 21:00:00,3983000.0
End,2019-02-24 01:00:00,4462000.0,Failed,11.98
Start,2019-02-24 01:00:00,4462000.0
End,2019-02-27 09:00:00,4242000.0,Failed,-4.9799999999999995
Start,2019-02-27 09:00:00,4242000.0
End,2019-03-05 21:00:00,4236000.0,Failed,-0.19
Start,2019-03-05 21:00:00,4236000.0
End,2019-03-09 13:00:00,4332000.0,Failed,2.22
Start,2019-03-09 13:00:00,4332000.0
End,2019-03-14 01:00:00,4328000.0,Failed,-0.13999999999999999
Start,2019-03-14 01:00:00,4328000.0
End,2019-03-19 01:00:00,4446000.0,Failed,2.68
Start,2019-03-19 01:00:00,4446000.0
End,2019-03-27 17:00:00,4542000.0,Failed,2.11
Start,2019-03-27 17:00:00,4542000.0
End,2019-04-01 09:00:00,4690000.0,Failed,3.2099999999999995
Start,2019-04-01 09:00:00,4690000.0
End,2019-04-06 17:00:00,5692000.0,Failed,21.310000000000002
Start,2019-04-06 17:00:00,5692000.0
End,2019-04-10 21:00:00,6066000.0,Failed,6.52
Start,2019-04-10 21:00:00,6066000.0
End,2019-04-14 05:00:00,5889000.0,Failed,-2.97
Start,2019-04-14 05:00:00,5889000.0
End,2019-04-17 05:00:00,6024000.0,Failed,2.2399999999999998
Start,2019-04-17 05:00:00,6024000.0
End,2019-04-22 21:00:00,6138000.0,Failed,1.8399999999999999
Start,2019-04-22 21:00:00,6138000.0
End,2019-04-29 05:00:00,6138000.0,Failed,-0.05
Start,2019-04-29 05:00:00,6138000.0
End,2019-05-01 13:00:00,6148000.0,Failed,0.11
Start,2019-05-01 13:00:00,6148000.0
End,2019-05-17 05:00:00,9465000.0,Failed,53.900000000000006
Start,2019-05-17 05:00:00,9465000.0
End,2019-05-19 13:00:00,9472000.0,Failed,0.019999999999999997
Start,2019-05-19 13:00:00,9472000.0
End,2019-05-23 01:00:00,9495000.0,Failed,0.18999999999999997
Start,2019-05-23 01:00:00,9495000.0
End,2019-05-24 21:00:00,9628000.0,Failed,1.35
Start,2019-05-24 21:00:00,9628000.0
End,2019-05-30 13:00:00,10392000.0,Failed,7.89
Start,2019-05-30 13:00:00,10392000.0
End,2019-06-02 13:00:00,10492000.0,Failed,0.9099999999999999
Start,2019-06-02 13:00:00,10492000.0
End,2019-06-08 01:00:00,9688000.0,Failed,-7.71
Start,2019-06-08 01:00:00,9688000.0
End,2019-06-10 21:00:00,9644000.0,Failed,-0.49999999999999994
Start,2019-06-10 21:00:00,9644000.0
End,2019-06-20 17:00:00,11034000.0,Failed,14.360000000000001
Start,2019-06-20 17:00:00,11034000.0
End,2019-06-25 09:00:00,13026000.0,Failed,18.0
Start,2019-06-25 09:00:00,13026000.0
End,2019-06-30 01:00:00,14533000.0,Failed,11.52
Start,2019-06-30 01:00:00,14533000.0
End,2019-07-03 17:00:00,13540000.0,Failed,-6.88
Start,2019-07-03 17:00:00,13540000.0
End,2019-07-07 17:00:00,13581000.0,Failed,0.25
Start,2019-07-07 17:00:00,13581000.0
End,2019-07-13 21:00:00,13807000.0,Failed,1.6099999999999999
Start,2019-07-13 21:00:00,13807000.0
End,2019-07-19 09:00:00,12595000.0,Failed,-8.83
Start,2019-07-19 09:00:00,12595000.0
End,2019-07-26 17:00:00,11629000.0,Failed,-7.720000000000001
Start,2019-07-26 17:00:00,11629000.0
End,2019-07-30 05:00:00,11280000.0,Failed,-3.05
Start,2019-07-30 05:00:00,11280000.0
End,2019-08-09 05:00:00,14241000.0,Failed,26.200000000000003
Start,2019-08-09 05:00:00,14241000.0
End,2019-08-10 09:00:00,14198000.0,Failed,-0.35000000000000003
Start,2019-08-10 09:00:00,14198000.0
End,2019-08-13 05:00:00,13696000.0,Failed,-3.5900000000000003
Start,2019-08-13 05:00:00,13696000.0
End,2019-08-17 09:00:00,12549000.0,Failed,-8.42
Start,2019-08-17 09:00:00,12549000.0
End,2019-08-19 13:00:00,12920000.0,Failed,2.91
Start,2019-08-19 13:00:00,12920000.0
End,2019-08-23 21:00:00,12462000.0,Failed,-3.5900000000000003
Start,2019-08-23 21:00:00,12462000.0
End,2019-08-26 09:00:00,12314000.0,Failed,-1.2400000000000002
Start,2019-08-26 09:00:00,12314000.0
End,2019-08-31 21:00:00,11604000.0,Failed,-5.82
Start,2019-08-31 21:00:00,11604000.0
End,2019-09-02 05:00:00,11768000.0,Failed,1.3599999999999999
Start,2019-09-02 05:00:00,11768000.0
End,2019-09-06 09:00:00,12715000.0,Failed,8.0
Start,2019-09-06 09:00:00,12715000.0
End,2019-09-12 21:00:00,12315000.0,Failed,-3.2
Start,2019-09-12 21:00:00,12315000.0
End,2019-09-19 05:00:00,12050000.0,Failed,-2.1999999999999997
Start,2019-09-19 05:00:00,12050000.0
End,2019-09-20 05:00:00,12180000.0,Failed,1.03
Start,2019-09-20 05:00:00,12180000.0
End,2019-09-29 09:00:00,9779000.0,Failed,-19.759999999999998
Start,2019-09-29 09:00:00,9779000.0
End,2019-10-01 01:00:00,9850000.0,Failed,0.68
Start,2019-10-01 01:00:00,9850000.0
End,2019-10-07 21:00:00,9749000.0,Failed,-1.08
Start,2019-10-07 21:00:00,9749000.0
End,2019-10-14 01:00:00,9977000.0,Failed,2.29
Start,2019-10-14 01:00:00,9977000.0
End,2019-10-21 01:00:00,9750000.0,Failed,-2.33
Start,2019-10-21 01:00:00,9750000.0
End,2019-10-25 21:00:00,9646000.0,Failed,-1.1199999999999999
Start,2019-10-25 21:00:00,9646000.0
End,2019-11-01 17:00:00,10751000.0,Failed,11.41
Start,2019-11-01 17:00:00,10751000.0
End,2019-11-03 09:00:00,10884000.0,Failed,1.19
Start,2019-11-03 09:00:00,10884000.0
End,2019-11-05 05:00:00,10846000.0,Failed,-0.4
Start,2019-11-05 05:00:00,10846000.0
