,open time,close,Success/Fail,Earning Rate (%)
Start,2021-04-05 13:00:00,75014000.0
End,2021-04-10 05:00:00,76066000.0,Failed,1.35
Start,2021-04-10 05:00:00,76066000.0
End,2021-04-13 17:00:00,81200000.0,Failed,6.7
Start,2021-04-13 17:00:00,81200000.0
End,2021-04-25 17:00:00,60869000.0,Failed,-25.09
Start,2021-04-25 17:00:00,60869000.0
End,2021-04-30 21:00:00,67700000.0,Failed,11.17
Start,2021-04-30 21:00:00,67700000.0
End,2021-05-06 17:00:00,70127000.0,Failed,3.53
Start,2021-05-06 17:00:00,70127000.0
End,2021-05-08 17:00:00,70278000.0,Failed,0.17
Start,2021-05-08 17:00:00,70278000.0
End,2021-05-21 21:00:00,47712000.0,Failed,-32.16
Start,2021-05-21 21:00:00,47712000.0
End,2021-05-25 09:00:00,46645000.0,Failed,-2.29
Start,2021-05-25 09:00:00,46645000.0
End,2021-05-27 21:00:00,47433000.0,Failed,1.6399999999999997
Start,2021-05-27 21:00:00,47433000.0
End,2021-06-01 01:00:00,43480000.0,Failed,-8.38
Start,2021-06-01 01:00:00,43480000.0
End,2021-06-03 13:00:00,44878000.0,Failed,3.17
Start,2021-06-03 13:00:00,44878000.0
End,2021-06-09 21:00:00,41828000.0,Failed,-6.8500000000000005
Start,2021-06-09 21:00:00,41828000.0
End,2021-06-14 05:00:00,44746000.0,Failed,6.93
Start,2021-06-14 05:00:00,44746000.0
End,2021-06-24 01:00:00,38513000.0,Failed,-13.98
Start,2021-06-24 01:00:00,38513000.0
End,2021-06-28 05:00:00,39985000.0,Failed,3.7699999999999996
Start,2021-06-28 05:00:00,39985000.0
End,2021-07-03 21:00:00,40210000.0,Failed,0.51
Start,2021-07-03 21:00:00,40210000.0
End,2021-07-07 21:00:00,40278000.0,Failed,0.12
Start,2021-07-07 21:00:00,40278000.0
End,2021-07-10 17:00:00,39925000.0,Failed,-0.93
Start,2021-07-10 17:00:00,39925000.0
End,2021-07-18 09:00:00,37793000.0,Failed,-5.390000000000001
Start,2021-07-18 09:00:00,37793000.0
End,2021-07-22 01:00:00,37300000.0,Failed,-1.35
Start,2021-07-22 01:00:00,37300000.0
End,2021-07-31 05:00:00,48555000.0,Failed,30.12
Start,2021-07-31 05:00:00,48555000.0
End,2021-08-06 01:00:00,46994000.0,Failed,-3.26
Start,2021-08-06 01:00:00,46994000.0
End,2021-08-13 13:00:00,53433000.0,Failed,13.65
Start,2021-08-13 13:00:00,53433000.0
End,2021-08-16 21:00:00,53987000.0,Failed,0.9899999999999999
Start,2021-08-16 21:00:00,53987000.0
End,2021-08-20 01:00:00,54663000.0,Failed,1.2
Start,2021-08-20 01:00:00,54663000.0
End,2021-08-28 05:00:00,57401000.0,Failed,4.96
First Seed Money,Last Seed Money,Total Earning Rate(%),Winning Rate(%)
1,0.7453580407568337,-8.399999999999997,61.53846153846154
