,open time,close,Success/Fail,Earning Rate (%)
Start,2021-01-05 17:00:00,36150000.0
End,2021-01-06 21:00:00,38547000.0,Failed,6.58
Start,2021-01-07 05:00:00,40762000.0
End,2021-01-08 09:00:00,44113000.0,Failed,8.17
Start,2021-01-08 17:00:00,47229000.0
End,2021-01-09 09:00:00,46636000.0,Failed,-1.31
Start,2021-01-12 05:00:00,40094000.0
End,2021-01-12 21:00:00,37835000.0,Failed,-5.680000000000001
Start,2021-01-13 13:00:00,38940000.0
End,2021-01-15 05:00:00,42735000.0,Failed,9.700000000000001
Start,2021-01-16 05:00:00,40952000.0
End,2021-01-17 01:00:00,40338000.0,Failed,-1.55
Start,2021-01-18 05:00:00,39536000.0
End,2021-01-18 09:00:00,39060000.0,Failed,-1.25
Start,2021-01-18 13:00:00,39722000.0
End,2021-01-20 01:00:00,39900000.0,Failed,0.4
Start,2021-01-21 01:00:00,38870000.0
End,2021-01-21 09:00:00,38430000.0,Failed,-1.18
Start,2021-01-21 13:00:00,38635000.0
End,2021-01-21 17:00:00,36093000.0,Failed,-6.63
Start,2021-01-22 17:00:00,35113000.0
End,2021-01-23 17:00:00,34936000.0,Failed,-0.5499999999999999
Start,2021-01-24 01:00:00,35760000.0
End,2021-01-24 05:00:00,35493000.0,Failed,-0.8
Start,2021-01-24 09:00:00,35800000.0
End,2021-01-24 21:00:00,35137000.0,Failed,-1.9
Start,2021-01-25 05:00:00,35539000.0
End,2021-01-26 05:00:00,36054000.0,Failed,1.4000000000000001
Start,2021-01-27 01:00:00,35755000.0
End,2021-01-27 09:00:00,35433000.0,Failed,-0.95
Start,2021-01-28 09:00:00,35130000.0
End,2021-01-29 13:00:00,35745000.0,Failed,1.7000000000000002
Start,2021-01-29 17:00:00,39804000.0
End,2021-01-30 01:00:00,37794000.0,Failed,-5.1000000000000005
Start,2021-02-01 09:00:00,36595000.0
End,2021-02-01 21:00:00,36411000.0,Failed,-0.5499999999999999
Start,2021-02-02 13:00:00,36889000.0
End,2021-02-04 01:00:00,38770000.0,Failed,5.05
Start,2021-02-04 05:00:00,39357000.0
End,2021-02-04 17:00:00,39648000.0,Failed,0.69
Start,2021-02-05 13:00:00,40071000.0
End,2021-02-06 01:00:00,39979000.0,Failed,-0.27999999999999997
Start,2021-02-06 05:00:00,40424000.0
End,2021-02-07 01:00:00,42486000.0,Failed,5.05
Start,2021-02-08 05:00:00,41921000.0
End,2021-02-08 09:00:00,41601000.0,Failed,-0.8099999999999999
Start,2021-02-08 13:00:00,42299000.0
End,2021-02-09 17:00:00,49562000.0,Failed,17.119999999999997
Start,2021-02-11 09:00:00,49188000.0
End,2021-02-11 13:00:00,48550000.0,Failed,-1.35
Start,2021-02-11 17:00:00,49375000.0
End,2021-02-12 13:00:00,51340000.0,Failed,3.93
Start,2021-02-13 09:00:00,51501000.0
End,2021-02-13 13:00:00,50895000.0,Failed,-1.23
Start,2021-02-14 09:00:00,50840000.0
End,2021-02-15 09:00:00,51731000.0,Failed,1.7000000000000002
Start,2021-02-16 01:00:00,52403000.0
End,2021-02-18 17:00:00,57246000.0,Failed,9.19
Start,2021-02-19 17:00:00,59278000.0
End,2021-02-21 05:00:00,64251000.0,Failed,8.34
Start,2021-02-22 01:00:00,65560000.0
End,2021-02-22 05:00:00,65417000.0,Failed,-0.27
Start,2021-02-24 05:00:00,55105000.0
End,2021-02-25 01:00:00,55264000.0,Failed,0.24
Start,2021-02-25 05:00:00,56500000.0
End,2021-02-26 01:00:00,56837000.0,Failed,0.5499999999999999
Start,2021-02-26 21:00:00,54480000.0
End,2021-02-27 21:00:00,53799000.0,Failed,-1.3
Start,2021-02-28 01:00:00,54279000.0
End,2021-02-28 05:00:00,53494000.0,Failed,-1.5000000000000002
Start,2021-02-28 17:00:00,52577000.0
End,2021-02-28 21:00:00,50191000.0,Failed,-4.590000000000001
Start,2021-03-01 01:00:00,51086000.0
End,2021-03-02 21:00:00,55446000.0,Failed,8.48
Start,2021-03-03 05:00:00,56000000.0
End,2021-03-04 09:00:00,57202000.0,Failed,2.0999999999999996
Start,2021-03-05 21:00:00,55818000.0
End,2021-03-06 13:00:00,56288000.0,Failed,0.7899999999999999
Start,2021-03-07 05:00:00,56225000.0
End,2021-03-08 09:00:00,57964000.0,Failed,3.04
Start,2021-03-08 17:00:00,58263000.0
End,2021-03-10 09:00:00,61709000.0,Failed,5.86
Start,2021-03-10 21:00:00,64528000.0
End,2021-03-11 13:00:00,63877000.0,Failed,-1.06
Start,2021-03-12 01:00:00,64884000.0
End,2021-03-12 13:00:00,65693000.0,Failed,1.2
Start,2021-03-13 01:00:00,66307000.0
End,2021-03-13 09:00:00,65721000.0,Failed,-0.93
Start,2021-03-13 17:00:00,69440000.0
End,2021-03-14 13:00:00,70441000.0,Failed,1.39
Start,2021-03-16 13:00:00,64280000.0
End,2021-03-16 17:00:00,63875000.0,Failed,-0.68
Start,2021-03-16 21:00:00,64607000.0
End,2021-03-17 17:00:00,63530000.0,Failed,-1.72
Start,2021-03-18 01:00:00,67119000.0
End,2021-03-19 01:00:00,67091000.0,Failed,-0.09
Start,2021-03-19 17:00:00,68648000.0
End,2021-03-20 05:00:00,67974000.0,Failed,-1.03
Start,2021-03-20 09:00:00,68648000.0
End,2021-03-21 05:00:00,67849000.0,Failed,-1.21
Start,2021-03-22 05:00:00,67120000.0
End,2021-03-22 21:00:00,67095000.0,Failed,-0.09
Start,2021-03-23 21:00:00,65322000.0
End,2021-03-25 05:00:00,64777000.0,Failed,-0.88
Start,2021-03-26 01:00:00,63435000.0
End,2021-03-28 17:00:00,66697000.0,Failed,5.09
Start,2021-03-28 21:00:00,67427000.0
End,2021-03-29 05:00:00,67133000.0,Failed,-0.49
Start,2021-03-29 17:00:00,68766000.0
End,2021-03-31 09:00:00,70206000.0,Failed,2.0399999999999996
Start,2021-03-31 21:00:00,71826000.0
End,2021-04-01 01:00:00,70910000.0,Failed,-1.33
Start,2021-04-01 05:00:00,71513000.0
End,2021-04-02 05:00:00,72749000.0,Failed,1.68
Start,2021-04-02 09:00:00,74101000.0
End,2021-04-02 21:00:00,74105000.0,Failed,-0.04
Start,2021-04-03 09:00:00,74782000.0
End,2021-04-03 13:00:00,74587000.0,Failed,-0.31
Start,2021-04-03 17:00:00,74990000.0
End,2021-04-04 05:00:00,72187000.0,Failed,-3.7900000000000005
Start,2021-04-05 01:00:00,73224000.0
End,2021-04-06 09:00:00,77985000.0,Failed,6.45
Start,2021-04-07 09:00:00,78809000.0
End,2021-04-07 13:00:00,74390000.0,Failed,-5.66
Start,2021-04-08 13:00:00,72200000.0
End,2021-04-11 01:00:00,78179000.0,Failed,8.23
Start,2021-04-12 05:00:00,78743000.0
End,2021-04-12 13:00:00,78429000.0,Failed,-0.45000000000000007
Start,2021-04-13 09:00:00,78422000.0
End,2021-04-14 21:00:00,80747000.0,Failed,2.91
Start,2021-04-16 05:00:00,79670000.0
End,2021-04-16 13:00:00,79194000.0,Failed,-0.65
Start,2021-04-17 05:00:00,79351000.0
End,2021-04-17 13:00:00,78337000.0,Failed,-1.33
Start,2021-04-18 21:00:00,74750000.0
End,2021-04-19 21:00:00,71615000.0,Failed,-4.24
Start,2021-04-20 17:00:00,69785000.0
End,2021-04-21 13:00:00,69211000.0,Failed,-0.8700000000000001
Start,2021-04-21 21:00:00,70180000.0
End,2021-04-22 05:00:00,68198000.0,Failed,-2.87
Start,2021-04-23 17:00:00,58711000.0
End,2021-04-26 01:00:00,60556000.0,Failed,3.09
Start,2021-04-26 09:00:00,62529000.0
End,2021-04-28 09:00:00,64153000.0,Failed,2.55
Start,2021-04-29 01:00:00,64265000.0
End,2021-04-29 17:00:00,63935000.0,Failed,-0.56
Start,2021-04-30 05:00:00,63814000.0
