,open time,close,Success/Fail,Earning Rate (%)
Start,2021-01-06 13:00:00,38910000.0
End,2021-01-11 01:00:00,41970000.0,Failed,7.8100000000000005
Start,2021-01-14 21:00:00,43418000.0
End,2021-01-15 21:00:00,39458000.0,Failed,-9.17
Start,2021-01-23 01:00:00,36972000.0
End,2021-01-27 17:00:00,34541000.0,Failed,-6.63
Start,2021-01-29 05:00:00,36624000.0
End,2021-01-31 21:00:00,36245000.0,Failed,-1.08
Start,2021-02-03 09:00:00,38647000.0
End,2021-02-07 21:00:00,41002000.0,Failed,6.04
Start,2021-02-08 21:00:00,46344000.0
End,2021-02-22 17:00:00,61400000.0,Failed,32.440000000000005
Start,2021-03-01 17:00:00,54109000.0
End,2021-03-05 09:00:00,55300000.0,Failed,2.15
Start,2021-03-07 17:00:00,58042000.0
End,2021-03-15 13:00:00,66101000.0,Failed,13.83
Start,2021-03-18 05:00:00,68494000.0
End,2021-03-21 17:00:00,66119000.0,Failed,-3.52
Start,2021-03-28 01:00:00,66720000.0
End,2021-04-04 05:00:00,72187000.0,Failed,8.14
Start,2021-04-05 09:00:00,75130000.0
End,2021-04-07 13:00:00,74390000.0,Failed,-1.03
Start,2021-04-10 13:00:00,78300000.0
End,2021-04-15 17:00:00,78985000.0,Failed,0.8199999999999998
Start,2021-04-26 17:00:00,63369000.0
End,2021-05-04 09:00:00,68030000.0,Failed,7.31
Start,2021-05-08 17:00:00,70278000.0
End,2021-05-11 17:00:00,68777000.0,Failed,-2.19
Start,2021-05-25 01:00:00,47060000.0
End,2021-05-28 17:00:00,43174000.0,Failed,-8.31
Start,2021-06-03 13:00:00,44878000.0
End,2021-06-04 13:00:00,43331000.0,Failed,-3.5000000000000004
Start,2021-06-09 17:00:00,40382000.0
End,2021-06-13 09:00:00,40692000.0,Failed,0.72
Start,2021-06-14 01:00:00,43634000.0
End,2021-06-18 09:00:00,44347000.0,Failed,1.5799999999999998
Start,2021-06-23 09:00:00,38993000.0
End,2021-06-26 01:00:00,37864000.0,Failed,-2.95
Start,2021-06-28 05:00:00,39985000.0
End,2021-07-01 09:00:00,39750000.0,Failed,-0.6399999999999999
Start,2021-07-04 01:00:00,40380000.0
End,2021-07-05 09:00:00,40075000.0,Failed,-0.8099999999999999
Start,2021-07-10 21:00:00,39967000.0
End,2021-07-13 01:00:00,39001000.0,Failed,-2.4699999999999998
Start,2021-07-21 13:00:00,36421000.0
End,2021-07-27 05:00:00,43001000.0,Failed,18.02
Start,2021-07-28 09:00:00,46180000.0
End,2021-08-02 05:00:00,46274000.0,Failed,0.15
Start,2021-08-06 01:00:00,46994000.0
End,2021-08-15 13:00:00,53599000.0,Failed,14.000000000000002
Start,2021-08-20 01:00:00,54663000.0
End,2021-08-24 21:00:00,56790000.0,Failed,3.84
Start,2021-08-28 05:00:00,57401000.0
End,2021-08-31 05:00:00,55800000.0,Failed,-2.8400000000000003
First Seed Money,Last Seed Money,Total Earning Rate(%),Winning Rate(%)
1,1.8278638144793447,73.06,51.85185185185185
